angle_deg,dice,iou
-93.75,0.9254307861033143,0.8612109616908211
-93.5,0.925558174288667,0.8614316309548935
-93.25,0.9256778356838575,0.8616389630880379
-93.0,0.9257717397364655,0.8618016989325444
-92.75,0.9258965357675818,0.8620180146511781
-92.5,0.9259847026380145,0.862170869365114
-92.25,0.9260334248794972,0.8622553497771502
-92.0,0.9260146302217944,0.8622227604581156
-91.75,0.9260444903563353,0.8622745374839542
-91.5,0.9260397352961941,0.8622662920881828
-91.25,0.9259581266603504,0.8621247920075552
-91.0,0.9259661734793391,0.86213874331967
-90.75,0.925892560279512,0.8620111229473043
-90.5,0.9258449588502208,0.8619286074933774
-90.25,0.9257460586892693,0.8617571908181576
